% (Hf),% (Ti),% (Zr),BFactor
1e-08,41.00000000589959,58.99999998410041,0.03267231748885391
1e-08,42.00000000579958,57.99999998420042,0.032676435025937485
1e-08,43.00000000569957,56.99999998430043,0.03267867123283673
1e-08,44.00000000559956,55.99999998440044,0.03267905694277545
1e-08,45.000000005499544,54.999999984500455,0.03267761536592825
1e-08,46.000000005399535,53.999999984600464,0.03267436235901034
1e-08,47.000000005299526,52.99999998470047,0.032669306652779735
1e-08,48.00000000519952,51.99999998480048,0.03266245004001486
1e-08,49.00000000509951,50.99999998490049,0.03265378752611036
1e-08,50.00000000499949,49.99999998500051,0.032643307444050154
1e-08,51.00000000489948,48.999999985100516,0.03263099153516107
1e-08,52.000000004799475,47.999999985200525,0.03261681499671724
1e-08,53.000000004699466,46.99999998530053,0.03260074649715189
1e-08,54.00000000459946,45.99999998540054,0.03258274815932878
1e-08,55.00000000449945,44.99999998550055,0.03256277551203071
1e-08,56.00000000439944,43.99999998560056,0.032540777409529396
1e-08,57.00000000429942,42.999999985700576,0.032516695918806154
1e-08,58.000000004199414,41.999999985800585,0.03249046617369082
1e-08,59.000000004099405,40.999999985900594,0.03246201619487291
1e-08,60.000000003999396,39.9999999860006,0.032431266674408786
1e-08,61.00000000389939,38.99999998610061,0.032398130722995334
1e-08,62.00000000379937,37.99999998620063,0.03236251357789827
1e-08,63.00000000369936,36.99999998630064,0.03232431226900544
1e-08,64.00000000359935,35.99999998640065,0.03228341524001224
1e-08,65.00000000349935,34.999999986500654,0.03223970192123022
1e-08,66.00000000339934,33.99999998660067,0.03219304224992859
1e-08,67.00000000329932,32.999999986700686,0.032143296133459336
1e-08,68.00000000319932,31.999999986800688,0.0320903128496636
1e-08,69.0000000030993,30.999999986900704,0.03203393037819355
1e-08,70.0000000029993,29.999999987000706,0.0319739746553841
1e-08,71.00000000289928,28.999999987100722,0.031910258744149926
1e-08,72.00000000279927,27.999999987200738,0.03184258190902792
1e-08,73.00000000269927,26.99999998730074,0.03177072858489681
1e-08,74.00000000259925,25.999999987400756,0.03169446722603111
1e-08,75.00000000249925,24.999999987500757,0.03161354901992771
1e-08,76.00000000239923,23.999999987600773,0.03152770644769889
1e-08,77.00000000229923,22.999999987700775,0.031436651669664244
1e-08,78.00000000219922,21.99999998780079,0.03134007471096999
1e-08,79.0000000020992,20.999999987900807,0.031237641417467307
1e-08,80.0000000019992,19.99999998800081,0.031128991146492497
1e-08,81.00000000189918,18.999999988100825,0.03101373415036229
1e-08,82.00000000179918,17.999999988200827,0.0308914486019984
1e-08,83.00000000169916,16.999999988300843,0.030761677201704793
1e-08,84.00000000159915,15.999999988400859,0.030623923291180768
1e-08,85.00000000149915,14.99999998850086,0.030477646384624725
1e-08,86.00000000139913,13.999999988600877,0.030322257006283816
1e-08,87.00000000129913,12.999999988700878,0.03015711069770375
1e-08,88.00000000119911,11.999999988800894,0.02998150102442633
1e-08,89.0000000010991,10.99999998890091,0.029794651368478923
1e-08,90.0000000009991,9.999999989000912,0.029595705236244663
1e-08,91.00000000089908,8.999999989100928,0.029383714736318685
1e-08,92.00000000079908,7.99999998920093,0.02915762678179206
1e-08,93.00000000069907,6.999999989300932,0.02891626643600086
1e-08,94.00000000059904,5.999999989400962,0.02865831663534675
1e-08,95.00000000049904,4.999999989500964,0.028382293265255036
1e-08,96.00000000039903,3.9999999896009797,0.02808651420208851
1e-08,97.00000000029902,2.9999999897009815,0.027769060412761386
1e-08,98.00000000019902,1.9999999898009833,0.02742772644224793
1e-08,99.00000000009899,0.9999999899010135,0.02705995648291729
1.00000000989999,1e-08,98.99999998010001,0.03043279280270438
1.00000000989999,1.00000000989999,97.99999998020002,0.030751096750122494
1.00000000989999,2.00000000979998,96.99999998030003,0.031040048396858373
1.00000000989999,3.0000000096999697,95.99999998040003,0.0313030338234442
1.00000000989999,4.00000000959996,94.99999998050005,0.03154293984234247
1.00000000989999,5.000000009499949,93.99999998060007,0.03176224684966022
1.00000000989999,6.0000000093999395,92.99999998070007,0.03196310067125806
1.00000000989999,7.00000000929993,91.99999998080008,0.032147368957324444
1.00000000989999,8.000000009199919,90.99999998090009,0.032316686015468776
1.00000000989999,9.000000009099908,89.9999999810001,0.032472488860190066
1.00000000989999,10.000000008999898,88.99999998110012,0.03261604649713535
1.00000000989999,11.000000008899889,87.99999998120012,0.03274848393191189
1.00000000989999,12.000000008799878,86.99999998130014,0.03287080201876013
1.00000000989999,13.00000000869987,85.99999998140014,0.032983893994922416
1.00000000989999,14.00000000859986,84.99999998150015,0.03308855934980211
1.00000000989999,15.00000000849985,83.99999998160015,0.03318551553245167
1.00000000989999,16.00000000839984,82.99999998170017,0.033275407891922945
1.00000000989999,17.00000000829983,81.99999998180019,0.033358818162457844
1.00000000989999,18.00000000819982,80.99999998190019,0.033436271742321055
1.00000000989999,19.00000000809981,79.9999999820002,0.03350824396626208
1.00000000989999,20.000000007999798,78.9999999821002,0.03357516553353751
1.00000000989999,21.00000000789979,77.99999998220022,0.03363742722350484
1.00000000989999,22.00000000779978,76.99999998230024,0.03369538400709356
1.00000000989999,23.000000007699768,75.99999998240024,0.0337493586435399
