% (Hf),% (Ti),% (Zr),Sigma_e0
1e-08,54.00000000459946,45.99999998540054,75238.66178383186
1e-08,55.00000000449945,44.99999998550055,75132.7367011705
1e-08,56.00000000439944,43.99999998560056,75039.10379799595
1e-08,57.00000000429942,42.999999985700576,74957.65167219378
1e-08,58.000000004199414,41.999999985800585,74888.28081255112
1e-08,59.000000004099405,40.999999985900594,74830.90334878047
1e-08,60.000000003999396,39.9999999860006,74785.44283030277
1e-08,61.00000000389939,38.99999998610061,74751.83403278471
1e-08,62.00000000379937,37.99999998620063,74730.02279155464
1e-08,63.00000000369936,36.99999998630064,74719.96586114305
1e-08,64.00000000359935,35.99999998640065,74721.63080031054
1e-08,65.00000000349935,34.999999986500654,74734.99588203916
1e-08,66.00000000339934,33.99999998660067,74760.05002807056
1e-08,67.00000000329932,32.999999986700686,74796.79276768115
1e-08,68.00000000319932,31.999999986800688,74845.23422048667
1e-08,69.0000000030993,30.999999986900704,74905.39510317113
1e-08,70.0000000029993,29.999999987000706,74977.3067601359
1e-08,71.00000000289928,28.999999987100722,75061.01121816551
1e-08,72.00000000279927,27.999999987200738,75156.56126530725
1e-08,73.00000000269927,26.99999998730074,75264.02055426627
1e-08,74.00000000259925,25.999999987400756,75383.46373071925
1e-08,75.00000000249925,24.999999987500757,75514.97658705991
1e-08,76.00000000239923,23.999999987600773,75658.65624219787
1e-08,77.00000000229923,22.999999987700775,75814.61134814778
1e-08,78.00000000219922,21.99999998780079,75982.96232426491
1e-08,79.0000000020992,20.999999987900807,76163.84162010954
1e-08,80.0000000019992,19.99999998800081,76357.39400805306
1e-08,81.00000000189918,18.999999988100825,76563.77690687987
1e-08,82.00000000179918,17.999999988200827,76783.16073778766
1e-08,83.00000000169916,16.999999988300843,77015.72931434608
1e-08,84.00000000159915,15.999999988400859,77261.68026814552
1e-08,85.00000000149915,14.99999998850086,77521.22551204891
1e-08,86.00000000139913,13.999999988600877,77794.59174315674
1e-08,87.00000000129913,12.999999988700878,78082.02098780755
1e-08,88.00000000119911,11.999999988800894,78383.77119116746
1e-08,89.0000000010991,10.99999998890091,78700.11685421132
1e-08,90.0000000009991,9.999999989000912,79031.34972117061
1e-08,91.00000000089908,8.999999989100928,79377.77952082088
1e-08,92.00000000079908,7.99999998920093,79739.73476530441
1e-08,93.00000000069907,6.999999989300932,80117.56361054048
1e-08,94.00000000059904,5.999999989400962,80511.63478266344
1e-08,95.00000000049904,4.999999989500964,80922.33857535868
1e-08,96.00000000039903,3.9999999896009797,81350.08792343432
1e-08,97.00000000029902,2.9999999897009815,81795.31955848799
1e-08,98.00000000019902,1.9999999898009833,82258.49525309815
1e-08,99.00000000009899,0.9999999899010135,82740.10316060304
1.00000000989999,1e-08,98.99999998010001,109025.71957595456
1.00000000989999,1.00000000989999,97.99999998020002,107446.86374416486
1.00000000989999,2.00000000979998,96.99999998030003,105937.72936437324
1.00000000989999,3.0000000096999697,95.99999998040003,104494.39838318128
1.00000000989999,4.00000000959996,94.99999998050005,103113.25205926562
1.00000000989999,5.000000009499949,93.99999998060007,101790.9432432921
1.00000000989999,6.0000000093999395,92.99999998070007,100524.3716927649
1.00000000989999,7.00000000929993,91.99999998080008,99310.66204150791
1.00000000989999,8.000000009199919,90.99999998090009,98147.14409699717
1.00000000989999,9.000000009099908,89.9999999810001,97031.33518395906
1.00000000989999,10.000000008999898,88.99999998110012,95960.9242909354
1.00000000989999,11.000000008899889,87.99999998120012,94933.75780904175
1.00000000989999,12.000000008799878,86.99999998130014,93947.8266798631
1.00000000989999,13.00000000869987,85.99999998140014,93001.25479311458
1.00000000989999,14.00000000859986,84.99999998150015,92092.2884949869
1.00000000989999,15.00000000849985,83.99999998160015,91219.28708552735
1.00000000989999,16.00000000839984,82.99999998170017,90380.71419842282
1.00000000989999,17.00000000829983,81.99999998180019,89575.12996950977
1.00000000989999,18.00000000819982,80.99999998190019,88801.18391155523
1.00000000989999,19.00000000809981,79.9999999820002,88057.60842258032
1.00000000989999,20.000000007999798,78.9999999821002,87343.21286345717
1.00000000989999,21.00000000789979,77.99999998220022,86656.87814787633
1.00000000989999,22.00000000779978,76.99999998230024,85997.5517942165
1.00000000989999,23.000000007699768,75.99999998240024,85364.24339447475
1.00000000989999,24.00000000759976,74.99999998250026,84756.020460347
1.00000000989999,25.000000007499747,73.99999998260026,84172.00461088291
1.00000000989999,26.000000007399738,72.99999998270027,83611.36806994757
1.00000000989999,27.00000000729973,71.99999998280029,83073.33044508468
1.00000000989999,28.00000000719972,70.99999998290029,82557.15576234132
1.00000000989999,29.000000007099707,69.99999998300031,82062.14973423892
1.00000000989999,30.0000000069997,68.99999998310031,81587.65724040047
1.00000000989999,31.000000006899686,67.99999998320033,81133.06000240779
1.00000000989999,32.00000000679968,66.99999998330033,80697.77443629797
1.00000000989999,33.00000000669967,65.99999998340033,80281.24966774073
1.00000000989999,34.000000006599656,64.99999998350035,79882.96569639615
1.00000000989999,35.00000000649965,63.99999998360036,79502.43169725337
1.00000000989999,36.00000000639964,62.99999998370037,79139.18444791541
1.00000000989999,37.00000000629963,61.99999998380038,78792.78687183652
1.00000000989999,38.00000000619962,60.99999998390039,78462.82668845654
1.00000000989999,39.000000006099604,59.999999984000404,78148.91516201569
1.00000000989999,40.000000005999595,58.99999998410041,77850.68594159071
1.00000000989999,41.00000000589959,57.99999998420042,77567.7939855746
1.00000000989999,42.00000000579958,56.99999998430043,77299.91456443879
1.00000000989999,43.00000000569957,55.99999998440044,77046.74233617165
1.00000000989999,44.00000000559956,54.99999998450045,76807.99048929143
1.00000000989999,45.000000005499544,53.999999984600464,76583.38994878907
1.00000000989999,46.000000005399535,52.99999998470047,76372.68864077001
1.00000000989999,47.000000005299526,51.99999998480048,76175.65081194285
1.00000000989999,48.00000000519952,50.99999998490049,75992.0564004454
1.00000000989999,49.00000000509951,49.9999999850005,75821.7004548132
1.00000000989999,50.00000000499949,48.999999985100516,75664.39259818372
1.00000000989999,51.00000000489948,47.999999985200525,75519.95653509093
1.00000000989999,52.000000004799475,46.99999998530053,75388.22959844879
1.00000000989999,53.000000004699466,45.99999998540054,75269.06233454368
1.00000000989999,54.00000000459946,44.99999998550055,75162.31812406161
1.00000000989999,55.00000000449945,43.99999998560056,75067.8728373673
1.00000000989999,56.00000000439944,42.99999998570057,74985.61452242754
1.00000000989999,57.00000000429942,41.999999985800585,74915.44312393731
1.00000000989999,58.000000004199414,40.999999985900594,74857.27023235938
1.00000000989999,59.000000004099405,39.9999999860006,74811.01886173432
1.00000000989999,60.000000003999396,38.99999998610061,74776.62325525173
1.00000000989999,61.00000000389939,37.99999998620062,74754.02871770406
1.00000000989999,62.00000000379937,36.99999998630064,74743.19147406548
1.00000000989999,63.00000000369936,35.99999998640065,74744.07855355524
1.00000000989999,64.00000000359935,34.999999986500654,74756.6676986582
1.00000000989999,65.00000000349935,33.999999986600656,74780.94729868244
1.00000000989999,66.00000000339934,32.99999998670067,74816.91634754013
1.00000000989999,67.00000000329932,31.999999986800688,74864.58442554128
1.00000000989999,68.00000000319932,30.99999998690069,74923.97170509117
1.00000000989999,69.0000000030993,29.999999987000706,74995.10898028294
1.00000000989999,70.0000000029993,28.999999987100708,75078.03772047839
1.00000000989999,71.00000000289928,27.999999987200724,75172.8101480701
1.00000000989999,72.00000000279927,26.99999998730074,75279.48934072095
1.00000000989999,73.00000000269927,25.99999998740074,75398.14935848101
