% (Hf),% (Ti),% (Zr),kappa_lattice
1.00000000989999,68.00000000319932,30.99999998690069,5.132840308332276
1.00000000989999,69.0000000030993,29.999999987000706,5.1371109387964085
1.00000000989999,70.0000000029993,28.999999987100708,5.142345312192236
1.00000000989999,71.00000000289928,27.999999987200724,5.148566080683943
1.00000000989999,72.00000000279927,26.99999998730074,5.155798303909236
1.00000000989999,73.00000000269927,25.99999998740074,5.164069617682903
1.00000000989999,74.00000000259925,24.999999987500757,5.1734104241514425
1.00000000989999,75.00000000249925,23.99999998760076,5.183854106096154
1.00000000989999,76.00000000239923,22.999999987700775,5.195437268528494
1.00000000989999,77.00000000229923,21.999999987800777,5.208200011249333
1.00000000989999,78.00000000219922,20.999999987900793,5.222186236670523
1.00000000989999,79.0000000020992,19.99999998800081,5.237443997944479
1.00000000989999,80.0000000019992,18.99999998810081,5.254025893342494
1.00000000989999,81.00000000189918,17.999999988200827,5.271989513898978
1.00000000989999,82.00000000179918,16.99999998830083,5.291397952639612
1.00000000989999,83.00000000169916,15.999999988400845,5.3123203852903815
1.00000000989999,84.00000000159915,14.99999998850086,5.334832734290751
1.00000000989999,85.00000000149915,13.999999988600862,5.359018430295921
1.00000000989999,86.00000000139913,12.999999988700878,5.384969288264072
1.00000000989999,87.00000000129913,11.99999998880088,5.412786518832511
1.00000000989999,88.00000000119911,10.999999988900896,5.442581900184765
1.00000000989999,89.0000000010991,9.999999989000912,5.474479141253098
1.00000000989999,90.0000000009991,8.999999989100914,5.508615474224954
1.00000000989999,91.00000000089908,7.99999998920093,5.545143523378573
1.00000000989999,92.00000000079908,6.999999989300932,5.584233508871049
1.00000000989999,93.00000000069907,5.9999999894009335,5.626075859069991
1.00000000989999,94.00000000059904,4.999999989500964,5.670884324497106
1.00000000989999,95.00000000049904,3.9999999896009655,5.718899712020917
1.00000000989999,96.00000000039903,2.9999999897009815,5.770394391819909
1.00000000989999,97.00000000029902,1.9999999898009833,5.825677774996907
1.00000000989999,98.00000000019902,0.999999989900985,5.885103021110935
2.00000000979998,1e-08,97.99999998020002,7.455033131710614
2.00000000979998,1.00000000989999,96.99999998030003,7.313948687202157
2.00000000979998,2.00000000979998,95.99999998040003,7.1830109000791005
2.00000000979998,3.0000000096999697,94.99999998050005,7.061078298509667
2.00000000979998,4.00000000959996,93.99999998060007,6.947186774427166
2.00000000979998,5.000000009499949,92.99999998070007,6.8405152573580725
2.00000000979998,6.0000000093999395,91.99999998080008,6.740359247114412
2.00000000979998,7.00000000929993,90.99999998090009,6.646110150636856
2.00000000979998,8.000000009199919,89.9999999810001,6.557238967080438
2.00000000979998,9.000000009099908,88.99999998110012,6.473283272946559
2.00000000979998,10.000000008999898,87.99999998120012,6.393836741567717
2.00000000979998,11.000000008899889,86.99999998130014,6.318540630145327
2.00000000979998,12.000000008799878,85.99999998140014,6.24707680963057
2.00000000979998,13.00000000869987,84.99999998150015,6.179162015618362
2.00000000979998,14.00000000859986,83.99999998160015,6.114543073842314
2.00000000979998,15.00000000849985,82.99999998170017,6.052992909781589
2.00000000979998,16.00000000839984,81.99999998180019,5.994307193800601
